epoch,loss
0,0.693147
1,0.680311
2,0.66835
3,0.657196
4,0.646787
5,0.637065
6,0.627975
7,0.619468
8,0.611499
9,0.604026
10,0.597011
11,0.590419
12,0.584219
13,0.578381
14,0.572878
15,0.567687
16,0.562785
17,0.558152
18,0.553768
19,0.549618
20,0.545685
21,0.541954
22,0.538413
23,0.53505
24,0.531852
25,0.528809
26,0.525912
27,0.523153
28,0.520522
29,0.518011
30,0.515615
31,0.513326
32,0.511139
33,0.509047
34,0.507045
35,0.505128
36,0.503292
37,0.501532
38,0.499845
39,0.498226
40,0.496672
41,0.49518
42,0.493746
43,0.492368
44,0.491043
45,0.489768
46,0.488541
47,0.48736
48,0.486223
49,0.485127
50,0.48407
51,0.483051
52,0.482069
53,0.48112
54,0.480205
55,0.479321
56,0.478468
57,0.477643
58,0.476846
59,0.476075
60,0.47533
61,0.474609
62,0.473911
63,0.473236
64,0.472582
65,0.471949
66,0.471336
67,0.470741
68,0.470165
69,0.469607
70,0.469066
71,0.46854
72,0.468031
73,0.467537
74,0.467057
75,0.466591
76,0.466139
77,0.4657
78,0.465273
79,0.464859
80,0.464456
81,0.464064
82,0.463684
83,0.463313
84,0.462953
85,0.462603
86,0.462262
87,0.461931
88,0.461608
89,0.461294
90,0.460988
91,0.460691
92,0.460401
93,0.460118
94,0.459843
95,0.459575
96,0.459313
97,0.459059
98,0.45881
99,0.458568
100,0.458332
101,0.458102
102,0.457877
103,0.457658
104,0.457444
105,0.457236
106,0.457032
107,0.456833
108,0.456639
109,0.45645
110,0.456265
111,0.456084
112,0.455908
113,0.455736
114,0.455567
115,0.455403
116,0.455242
117,0.455085
118,0.454931
119,0.454781
120,0.454634
121,0.454491
122,0.45435
123,0.454213
124,0.454079
125,0.453948
126,0.453819
127,0.453694
128,0.453571
129,0.45345
130,0.453333
131,0.453217
132,0.453105
133,0.452994
134,0.452886
135,0.45278
136,0.452676
137,0.452575
138,0.452475
139,0.452378
140,0.452283
141,0.452189
142,0.452097
143,0.452008
144,0.45192
145,0.451834
146,0.451749
147,0.451666
148,0.451585
149,0.451505
150,0.451427
151,0.451351
152,0.451276
153,0.451202
154,0.45113
155,0.451059
156,0.45099
157,0.450922
158,0.450855
159,0.45079
160,0.450725
161,0.450662
162,0.4506
163,0.45054
164,0.45048
165,0.450421
166,0.450364
167,0.450308
168,0.450252
169,0.450198
170,0.450144
171,0.450092
172,0.450041
173,0.44999
174,0.44994
175,0.449892
176,0.449844
177,0.449797
178,0.44975
179,0.449705
180,0.44966
181,0.449617
182,0.449574
183,0.449531
184,0.44949
185,0.449449
186,0.449409
187,0.449369
188,0.44933
189,0.449292
190,0.449255
191,0.449218
192,0.449182
193,0.449146
194,0.449111
195,0.449077
196,0.449043
197,0.449009
198,0.448977
199,0.448944
200,0.448913
201,0.448881
202,0.448851
203,0.448821
204,0.448791
205,0.448762
206,0.448733
207,0.448705
208,0.448677
209,0.44865
210,0.448623
211,0.448596
212,0.44857
213,0.448545
214,0.448519
215,0.448494
216,0.44847
217,0.448446
218,0.448422
219,0.448399
220,0.448376
221,0.448353
222,0.448331
223,0.448309
224,0.448288
225,0.448266
226,0.448245
227,0.448225
228,0.448205
229,0.448185
230,0.448165
231,0.448146
232,0.448126
233,0.448108
234,0.448089
235,0.448071
236,0.448053
237,0.448035
238,0.448018
239,0.448001
240,0.447984
241,0.447967
242,0.447951
243,0.447934
244,0.447918
245,0.447903
246,0.447887
247,0.447872
248,0.447857
249,0.447842
250,0.447827
251,0.447813
252,0.447799
253,0.447785
254,0.447771
255,0.447758
256,0.447744
257,0.447731
258,0.447718
259,0.447705
260,0.447692
261,0.44768
262,0.447668
263,0.447656
264,0.447644
265,0.447632
266,0.44762
267,0.447609
268,0.447597
269,0.447586
270,0.447575
271,0.447564
272,0.447554
273,0.447543
274,0.447533
275,0.447523
276,0.447513
277,0.447503
278,0.447493
279,0.447483
280,0.447473
281,0.447464
282,0.447455
283,0.447446
284,0.447436
285,0.447428
286,0.447419
287,0.44741
288,0.447401
289,0.447393
290,0.447385
291,0.447376
292,0.447368
293,0.44736
294,0.447352
295,0.447344
296,0.447337
297,0.447329
298,0.447322
299,0.447314
300,0.447307
301,0.4473
302,0.447293
303,0.447286
304,0.447279
305,0.447272
306,0.447265
307,0.447258
308,0.447252
309,0.447245
310,0.447239
311,0.447233
312,0.447226
313,0.44722
